,scr_selcode,sub_name,scr_period
229,0609,亞太財經專題,(一)06-08 商907 梁馨予
230,0458,微積分(二),(一)03-04 語302 魏秀娟
231,0460,APPS程式設計,(一)01-02 圖213 張雅雯
232,0461,心理學,(一)11-13 商107 林瑞發
233,0463,合作經濟思想史,(一)07-09 商406 李桂秋
234,0467,合作與非營利事業法規,(一)02-04 商406 易天文
235,0472,財政學,(一)01-03 人B119A 郭廸賢
236,0478,國際企業文化,(一)08-10 商403 林瑞發
237,0760,APPS程式設計,(一)03-04 圖213 林嘉成
238,4278,全民國防教育軍事訓練(二),"(一)01-02 科航B102 謝雪汶,陳謙貴"
239,0766,APPS程式設計,(一)03-04 圖213 洪烱麒
240,0780,敘事視覺化,(一)09-10 商408 李悅端
241,0783,虛實通路與超媒體設計,"(一)06-08 人B119A 何晉瑋,李元恕"
242,0791,行銷研究與田野調查,(一)02-04 商303 林志皇
243,0632,統計學(二),(一)11-13 商204 楊坤鋒
244,0633,統計學(二)實習,(一)14     紀207(電腦實習室)
245,0637,租稅法,(一)11-13 商106 何艷宏
246,0658,產業經濟學,(一)11-13 商202 賴鐘惠
247,0660,公民視野,(一)11-12 商104 林銘德
248,0661,公民視野,(一)11-12 商207 林文謙
249,0662,公民視野,(一)11-12 商208 陳如音
250,0671,法學英文（二）,(一)09-10 商712 林廷機
251,0682,實用法學英文(二),(一)11-12 商712 林廷機
252,0684,法律倫理實務（二）,(一)13     商712 林廷機
253,0689,公平交易與智慧財產權,(一)09-10 商707 林孟玲
254,0692,法律專業倫理,(一)07-08 商712 林廷機
255,0720,產學應用專題 (一),(一)06     商527 許瓊文
256,0721,企業流程設計與管理,(一)02-04 商527 仇介民
257,0730,行動商務與社群媒體,"(一)07-09 商527 魏彰志,許瓊文"
258,0833,大學國文(二),(一)13-14 商102 蘇哲儀
259,0840,大學國文(二),(一)13-14 商104 賴崇仁
260,2627,班級活動,"(一)08-09 理203(數電腦室) 林震燦,陳宏賓"
261,2629,計算機程式,(一)03     理203(數電腦室) (三)01-02 理203(數電腦室) 林英志
262,2634,線性代數(二),(一)04     理409 (三)03-04 理409 陳子建
263,2636,班級活動,"(一)08-09 理401 陳裕益,張其棟"
264,2638,計算機概論,"(一)04     理203(數電腦室) (三)03-04 理203(數電腦室) 楊建成,陳重宏"
265,2642,微積分(二),(一)06-07 理407 (五)01-02 理313 陳裕益
266,2643,線性代數(二),(一)03     理409 (三)01-02 理409 黃新峰
267,2647,班級活動,(一)08-09 理313 陳長城
268,2651,統計學實習,(一)11-12 理407 魏家茂
269,2661,向量分析,(一)03     忠307 (三)01-02 忠307 陳長城
270,2664,演算法分析,(一)04     理205 (四)08-09 理205 林英志
271,2654,班級活動,(一)08-09 理402 林姿均
272,2660,數值分析(一)實習,(一)11-12 理402
273,2666,專業外語,(一)09-10 人503 劉子瑄
274,2667,離散數學,(一)02     理413 (四)03-04 理401 葉光清
275,2673,迴歸分析,(一)06-08 理404 林彩玉
276,2676,數理統計(二),(一)03-04 理413 (三)02     理313 李英豪
277,2670,專業外語,(一)09-10 理407 張淑英
278,2671,離散數學,(一)02     理409 (四)03-04 理409 曾勵新
279,2688,分析通論(二),(一)07-09 理412B 張桂芳
280,2693,班級活動,"(一)08-09 學103 簡正一,李書安"
281,2697,微積分(二)實習,(一)01-02 理401 陳珮綺
282,2700,APPS程式設計,(一)06-07 行政二館104-電腦實室 王銘源
283,2709,水文學,(一)03-04 理407 黃東池
284,2701,班級活動,"(一)08-09 學101 馮秋霞,王唯匡"
285,2705,微積分(二)實習,(一)01-02 理313 李承璋
286,2708,APPS程式設計,(一)06-07 行政二館104-電腦實室 柯佳伶
287,2711,班級活動,(一)08-09 學515 童翔新
288,2712,工程數學(二),(一)04     學105 (四)06-07 語105 馮秋霞
289,2723,大氣環境導論,(一)06-07 學104 (四)09     學519 張立德
290,2717,班級活動,(一)08-09 學519 陳建隆
291,2718,工程數學(二),(一)03     學105 (四)03-04 學104 馮秋霞
292,2729,班級活動,(一)08-09 學105 張立德
293,2732,微生物學,(一)01-02 理407 (三)01     理313 梁志銘
294,2747,環境化學(二),(一)03-04 理313 喻家駿
295,2736,班級活動,(一)08-09 學104 林俊德
296,2740,空氣污染學實驗,(一)10-12 理311 梁正中
297,2748,班級活動,(一)08-09 忠B03 陳志成
298,2754,環安衛管理實務,(一)06-07 忠B03 郭修宇
299,2749,班級活動,(一)08-09 忠B03 吳俊哲
300,2756,專題討論(二),"(一)06     理B07 林俊德,喻家駿"
301,2766,專題研究(二),"(一)07     理B07 林俊德,喻家駿"
302,2767,專題討論(二),(一)06     理303 林秋裕
303,2768,專題討論(四),(一)06     理303 林秋裕
304,2772,材料科學導論(二),(一)02-04 學103 陳錦山
305,2777,普通物理實驗(二),(一)08-10 科航101(物實驗室一) 蔡雅芝
306,2782,材料科學導論(二),(一)08-09 語102 (二)01     科航201 陳錦山
307,2785,普通化學實驗(二),(一)02-03 工302 (一)04     工202(化學實驗室) 張振昌
308,2792,工程數學(二),(一)06-07 學102 (三)01     學104 林昆明
309,2804,物理冶金學(二),(一)06-07 學101 (二)08     學105 王致傑
310,2809,專題討論,(一)03-04 學101 駱榮富
311,2813,X光繞射原理,(一)02     學515 (二)06-07 學102 林巧奇
312,2814,光電材料學,(一)06-07 學415 (二)02     學101 梁辰睿
313,2817,奈米粉體製程實驗,(一)08-10 學305 陳錦毅
314,2812,專題討論,(一)03-04 學515 孫道中
315,2823,特殊合金,(一)06-08 學319 孫道中
316,2829,專題討論(二),(一)05     學409 王致傑
317,2830,功能性高分子材料特論,(一)07-09 學209 李立鼎
318,2836,半導體光電性質特論,(一)08-10 學409 蔡健益
319,2841,薄膜材料,(一)11-13 學209 何主亮
320,4313,高溫複合材料,(一)11-13 學409 柯澤豪
321,2897,班級活動,"(一)08-09 理413 唐謙仁,吳正文"
322,2900,基礎光電工程數學,(一)03-04 學415 李賜福
323,2904,微積分(二)實習,(一)06-07 理413
324,2906,班級活動,"(一)08-09 理409 羅道正,葉建宏"
325,2910,普通物理(二),(一)01     科航205 (四)03-04 忠309 林菲
326,2912,普通物理實驗(二),(一)02-04 科航102(物實驗室二) 羅道正
327,2914,微積分(二),(一)06-07 理409 (二)07     理313 陳長城
328,2916,班級活動,(一)08-09 語105 劉榮平
329,2931,光電數值方法,(一)02-04 資電234 盧聖華
330,2933,量子力學導論,(一)11-13 忠304 李英德
331,2923,班級活動,(一)08-09 語203 林菲
332,2936,光電半導體元件導論,(一)02     忠206 (二)03-04 語207 羅仕守
333,2938,雷射與光子學導論,(一)03-04 忠206 (五)01     理407 林泰生
334,2948,專題研究(二),"(一)05     忠206 林泰生,蔡雅芝"
335,2943,雷射與光子學導論,(一)02-04 忠207 林碩泰
336,2959,傅氏光學,(一)02-04 理101 劉榮平
337,2961,幾何光學,(一)08-10 理101 馬仕信
338,2847,大學國文(二),(一)01-02 人202 鄭慧如
339,2848,文章寫作（二）,(一)08-09 人408 張瑞芬
340,2849,文章寫作（二）,(一)06-07 人408 徐培晃
341,2855,現代文學導讀,(一)03-04 人405 鄭慧如
342,2858,中國文學史(二),(一)06-07 資電404 李寶玲
343,2859,中國思想史(一),(一)01-02 人705 朱文光
344,2864,台灣文學,(一)03-04 人705 余美玲
345,2868,陶謝詩,(一)08-09 人705 宋建華
346,2872,中國思想史(二),(一)03-04 人505 朱文光
347,4358,唐代學術專題,(一)06-08 人901 廖美玉
348,2032,班級活動,"(一)08-09 人706 林羨峯,郭毓芳"
349,2035,英語聽講練習,(一)01-02 人602 沈薇薇
350,2037,英文(二),(一)03-05 人404 彭芳美
351,2038,英文(二),(一)03-04 人604 (四)08     人401 闕帝丰
352,2056,英語聽講練習,(一)01-02 人608 鄭如玉
353,2058,文學作品導讀,(一)06-07 語407 李麗秋
354,2044,班級活動,"(一)08-09 人606 周玉楨,羅珮瑄"
355,2047,英語聽講練習,(一)01-02 人702 羅珮瑄
356,2048,英語聽講練習,(一)03-04 人602 沈薇薇
357,2061,班級活動,(一)08-09 人404 李麗秋
358,2064,英文作文(四),(一)03-04 人608 林育稜
359,2065,英文作文(四),(一)03-04 人502 李麗秋
360,2066,英文作文(四),(一)03-04 人702 鄭如玉
361,2068,班級活動,(一)08-09 人401 闕帝丰
362,2074,語言學概論(二),(一)02-04 人704 周玉楨
363,2089,英文作文(六),(一)03-04 人708 王大維
364,2090,專業外語,(一)01-02 人706 樊家瑋
365,2114,第二外語會話（二）-日文,(一)10-11 資電103 郭毓芳
366,2115,第二外語會話（二）-德文,(一)10-11 資電102 安馬丁
367,2094,英文作文(六),(一)03-04 資電B13 林羨峯
368,2097,專業外語,(一)01-02 人404 蕭碧莉
369,2135,語料語言學及教學,(一)02-04 人1108 劉顯親
370,2137,博物館學史,(一)02-04 人910 王嵩山
371,2144,研究方法與方法論(二),"(一)06-07 人910 李建緯,余瓊宜"
372,2163,Python程式設計與應用,(一)10     資電B19(電腦實習室) 薛念林
373,2164,機器人簡介,(一)08     資電248 陳俊華
374,2165,MATLAB程式設計概論,(一)09     資電B19(電腦實習室) 蘇恆毅
375,1412,班級活動,"(一)06-07 資電B04 王益文,英家慶"
376,1414,計算機概論與實習(III),(一)01     紀209A (一)02-04 紀207(電腦實習室) (三)06-07 資電402 英家慶
377,1415,計算機概論與實習(IV),(一)01     紀209A (一)02-04 紀207(電腦實習室) (三)06-07 資電402 英家慶
378,1422,班級活動,"(一)06-07 資電103 劉明機,黃奕欽"
379,1424,計算機概論與實習(III),(一)01-02 資電402 (四)02-04 資電125(電腦實習室) (四)09     資電102 黃奕欽
380,1425,計算機概論與實習(IV),(一)01-02 資電402 (四)02-04 資電125(電腦實習室) (四)09     資電102 黃奕欽
381,1429,微積分(二),(一)03-04 語307 (四)01     語307 陳裕益
382,1432,班級活動,"(一)06-07 資電306 許懷中,林佩君"
383,1438,微積分(二)實習,(一)08-09 資電B03 李承璋
384,1440,邏輯設計,(一)03-04 資電402 (五)01     資電402 陳德生
385,1442,班級活動,(一)06-07 資電B03 陳錫民
386,1445,班級活動,(一)06-07 人501 洪維志
387,1448,班級活動,(一)06-07 資電102 林明言
388,1451,班級活動,(一)06-07 語103 陳烈武
389,1455,計算機結構學,(一)03     資電B04 (三)06-07 資電B04 陳青文
390,1470,人工智慧概論與實務,(一)02     資電B06 (二)08-09 理203(數電腦室) 林峰正
391,1459,計算機結構學,(一)04     資電B04 (三)03-04 資電B04 陳青文
392,1468,計算機演算法,(一)03-04 資電B03 (三)04     資電B03 許懷中
393,1484,雲端計算,(一)08-10 資電235 林佩君
394,2168,通訊與網路概論,(一)09-10 資電504 (四)03     資電504 劉宗杰
395,2173,數位信號處理導論,(一)02     資電511 (三)06-07 資電511 陳德生
396,2178,電子商務安全,(一)11-13 資電404 王銘宏
397,2199,行動應用程式開發,(一)08     資電B19(電腦實習室) (五)03-04 資電B19(電腦實習室) 薛念林
398,2195,微處理機系統,(一)01     資電103 (五)01-02 資電B03 王益文
399,2196,微處理機系統實習,(一)02-04 資電248 王益文
400,2197,資訊與網路安全,(一)08     資電504 (三)06-07 資電504 陳烈武
401,1578,班級活動,"(一)06-07 資電B08 吳其昌,楊炳章"
402,1580,計算機概論(二),(一)03     資電403 (二)03     紀207(電腦實習室) (二)04     資電B03 周仲韓
403,1581,計算機概論實習(二),(一)08-09 資電B29(電腦實習室) 劉堂傑
404,1586,邏輯設計,(一)04     資電403 (二)06-07 商403 陳冠宏
405,1588,班級活動,"(一)06-07 資電104 周仲韓,楊水源"
406,1596,邏輯設計,(一)08-09 資電104 (二)03     資電403 鄭經華
407,1597,邏輯設計實習,(一)02-04 資電501A 鄭經華
408,1598,班級活動,(一)06-07 人504 林成利
409,1599,工程數學(二),(一)01-02 商311 (四)03     商311 林宗志
410,1600,電子學(二),(一)03     商311 (四)01-02 商311 楊炳章
411,1601,電子學實驗(二),(一)11-13 資電502 楊文祿
412,1603,班級活動,(一)06-07 人603 陳冠宏
413,1604,工程數學(二),(一)01-02 忠304 (四)03     語407 康宗貴
414,1605,電子學(二),(一)03     忠304 (四)01-02 語407 劉漢胤
415,1621,高等功率元件,(一)11-12 電通306 (二)01     電通306 簡鳳佐
416,1622,高等半導體元件,(一)02-04 電通306 楊文祿
417,1627,半導體元件故障分析,(一)08-10 電通306 林成利
418,2184,積體電路導論,(一)08-09 資電B08 (三)06     資電108 楊炳章
419,4330,電磁學(一),(一)08     資電B04 (四)08-09 資電B04 楊水源
420,2226,量子物理,(一)02-04 資電108 楊水源
421,2258,積體電路元件模擬,(一)02-04 電通303 簡鳳佐
422,1644,班級活動,"(一)06-07 資電512 梁寶芝,張家宏"
423,4292,全民國防教育軍事訓練(二),(一)03-04 男舍B11 徐士賢
424,1654,班級活動,"(一)06-07 人701 陳坤煌,唐丞譽"
425,1658,普通物理-電、磁、光實驗,(一)08-10 科航102(物實驗室二) 盧聖華
426,1664,班級活動,(一)06-07 資電B02 黃定彝
427,1665,工程數學(二),(一)01-02 資電102 (四)03     資電102 田春林
428,1666,電子學(二),(一)03-04 資電102 (二)02     人607 劉文豐
429,1667,電子學實驗(二),(一)08-10 資電330 劉文豐
430,1671,班級活動,(一)06-07 資電108 曹嶸
431,1672,工程數學(二),(一)01-02 人703 (四)03     人701 蘇恆毅
432,1673,電子學(二),(一)08-09 資電306 (二)04     資電306 何子儀
433,1675,電磁學(二),(一)03-04 人703 (二)07     資電104 曹嶸
434,1678,班級活動,(一)06-07 人401 陳德請
435,1680,電子學(二),(一)04     資電404 (二)03-04 人705 陳坤煌
436,1682,電磁學(二),(一)03     資電504 (二)01-02 語207 黃昌圳
437,1706,薄膜技術,(一)07-09 資電312 田春林
